Latitude,Longitude,Rock_Type,Soil_Type,Sedimentary_Layer_Thickness_m,Porosity,Permeability,Organic_Content,Fossil_Preservation_Potential
-22.58277860747475,-38.29121270012084,Dolomite,Sandy,252.33677064588144,0.23249957774749258,0.9327846843662073,6.417631226884522,High
81.12857515378491,-9.563162624992287,Chalk,Saline,374.63965239373414,0.0961279988996779,0.6169297585843204,4.646995289988512,Medium
41.75890952605292,127.63706155278493,Sandstone,Siliceous,283.5200564248849,0.13665992359247153,6.045877587929204,9.648535396153013,Low
17.758527155466595,-57.59842101843883,Limestone,Loamy,46.234778640339215,0.21582015921445458,9.66150206170262,2.2678866647439584,Low
-61.916644720361425,133.07388653238166,Siltstone,Acidic,96.86221720785993,0.17052233613112,5.032185876457692,5.919778518389513,High
-61.92098633948352,-148.27160484839106,Chalk,Peaty,113.56745109530497,0.23464275965872344,0.5246371071336583,7.032079148403204,Low
-79.5449498097241,99.64743739510709,Conglomerate,Siliceous,132.64280555419822,0.29030197530571494,2.2199743742137867,8.273088444519278,Medium
65.91170623948832,125.11714789970506,Mudstone,Calcareous,284.8746790154996,0.07913667192879938,2.455481135093549,4.12901320123727,Medium
18.20070211377758,-114.54564497855804,Mudstone,Saline,254.46306101356979,0.22739192909951522,3.38519272007813,6.900526885809067,Medium
37.45306400328819,-25.07524834600784,Mudstone,Acidic,105.56421899028342,0.10758603890802863,0.4455978020262642,3.1016945667043996,Medium
-86.29479102675556,-120.42008112108397,Dolomite,Siliceous,38.4396475105651,0.15361918185189233,9.049878077974183,4.411213314382021,Low
84.58377338915898,74.3774864379184,Conglomerate,Saline,89.85894121498545,0.05821568144878496,5.160483807767737,8.966708598913652,High
59.839675344075914,12.725196502196411,Shale,Siliceous,492.26874974620864,0.08397684557317474,6.71259862161155,9.504085332376448,High
-51.77896007791029,48.71640481499557,Conglomerate,Sandy,236.93074014677876,0.1299443222622249,0.6810566405811396,7.2162917345799205,High
-57.27150590272189,-109.26469189576399,Shale,Peaty,434.33602482754566,0.13549645132199623,0.5506135233584575,3.806083718684232,Medium
