Latitude,Longitude,Erosion_Stability,Annual_Rainfall_mm,Average_Temperature_C,Climate_Category,Tectonic_Activity_Level,Fossil_Preservation_Probability
68.99137479220235,24.286847871564675,Medium,1074.82988028595,17.736312924602412,Temperate,Stable,0.8925124139666158
17.824492432623245,-179.17259672522042,Low,459.1571309610809,-4.869667343142026,Arid,High,0.42099696281969845
25.654345654321503,-76.19952863432786,High,1191.5429349330482,36.64991515852502,Temperate,High,0.8045746820718152
-11.228533560183692,-86.42138822383382,Low,3447.176573636281,0.40884771673664666,Arid,Stable,0.7314492057015934
-13.366077698618554,121.87155906677845,High,3415.528984939484,-7.620879961726161,Tropical,Moderate,0.8590448322415115
68.69202477727211,114.44479002194379,Medium,1066.0122626537905,19.970802459020135,Temperate,Moderate,0.9777384706328236
53.30088898513611,121.90520918325171,Low,2618.7831644631196,44.230176199932274,Tropical,Moderate,0.44083575660886665
88.82902951229494,-102.8974175070747,High,2918.231654019646,31.694094176750916,Temperate,Stable,0.49026810184232095
-50.26223323798351,161.92277547567528,High,1606.2053989118708,44.843636838498384,Temperate,Stable,0.2607486682699919
-7.208467820796741,20.45986269441451,Medium,3174.1888450986817,6.323285204234285,Temperate,Stable,0.636392998942152
-74.90354488289464,10.097534722661862,Medium,177.78007821015115,35.228114280969685,Polar,Moderate,0.22242948858729195
7.503910505275414,-177.94889786049157,Medium,2646.1390410523636,12.00189030421608,Polar,Moderate,0.011020012028943316
-55.7300206336931,-64.56517709473519,Medium,1254.6816184384631,6.706177768471228,Temperate,High,0.6678051891913883
-36.72860127523201,-47.896423837584024,Low,2753.495313929804,15.98148764014788,Temperate,Stable,0.015535156552571983
-42.86526080314834,-90.75682772748311,Medium,528.2055239061901,-0.19316514195316614,Temperate,Moderate,0.4821807802786897
6.8870171604289965,-144.90499375674148,Medium,3622.752554175839,15.453240404225934,Arid,Stable,0.5240004544746906
-79.61812465686984,37.35905344110628,Medium,785.2256770334942,49.094886621246765,Polar,Moderate,0.7496227947435277
-44.21575551828751,-145.43280680797034,Low,2624.1745685211245,-6.323370783931104,Temperate,Moderate,0.5141275984516209
-32.68506604871965,-98.41455102876266,High,50.396175599340175,-2.1125137155002216,Temperate,High,0.845401554314353
70.35373784573187,-24.657943427697063,Medium,2830.874250864729,31.94416636357299,Arid,Moderate,0.44865009908360964
79.50526844383683,135.84578028390376,Low,2508.6370860384327,40.8934117799357,Temperate,Moderate,0.651104567452892
71.509282906939,-142.65937492765613,Medium,521.3945783950812,10.24425900522543,Temperate,Stable,0.306902823424246
-82.99326494314195,-174.82791965115163,High,794.4403976338124,8.976176077987486,Arid,Stable,0.030297290577788183
-11.922591604389368,117.87091801885884,Medium,457.25715632222955,-8.131299548731231,Arid,High,0.6035090027923978
-62.766157103005206,30.28972399681149,High,3107.603962458336,22.74516234270748,Polar,High,0.9013792477507392
48.447684369553286,-4.157848858220007,High,1687.7102478831584,42.76041352968991,Temperate,Stable,0.5917603701622755
-50.18878562271142,-69.24209491605012,Medium,1339.3893231835102,9.371887285844409,Tropical,Moderate,0.14381457024702882
11.180842810157671,-5.98689398362896,Medium,3554.3632749097237,0.05718103809310904,Temperate,Stable,0.2029751234809416
-38.58474085234437,144.89075171866864,High,63.58151122308892,49.09520447338243,Tropical,Stable,0.735790845624626
56.59950300547246,-30.836004782889688,Medium,3506.6514053916435,42.02098520144821,Arid,High,0.3544254113500407
-31.08863523960047,-68.91404337448887,Low,3907.155472230645,-3.015657890224981,Tropical,High,0.16912221788661574
62.923246851972976,-129.80624961589626,Low,475.4191941969685,30.944335314723254,Polar,Stable,0.8090660450816974
52.29343848341625,2.8778797593864454,Low,3774.3750196713436,4.770177805334768,Tropical,High,0.7273955160068226
