Latitude,Longitude,Rock_Type,Geological_Age,Deposition_Environment,Fossil_Probability,Sediment_Depth_m,Erosion_Resistance,Climate_Stability
-22.58277860747475,-38.29121270012084,Conglomerate,Paleogene,Fluvial,0.3960718539166901,13.343555642766189,0.06285329368298209,0.9631302124667881
81.12857515378491,-9.563162624992287,Shale,Jurassic,Marine,0.5886075856938554,22.978213500160614,0.8409232614634595,0.5834723667901471
41.75890952605292,127.63706155278493,Dolomite,Triassic,Fluvial,0.25782569593593974,18.899956745999727,0.7799125785441191,0.1383946356448631
17.758527155466595,-57.59842101843883,Siltstone,Paleogene,Aeolian,0.6898516287463015,44.58716962452755,0.9024316492756189,0.5459047098339571
-61.916644720361425,133.07388653238166,Sandstone,Devonian,Lacustrine,0.3090268126204314,30.799415765613684,0.31157626725800136,0.9935451477242423
-61.92098633948352,-148.27160484839106,Sandstone,Ordovician,Marine,0.8440787343822349,43.86914532311123,0.9117651062733667,0.5651716870992748
-79.5449498097241,99.64743739510709,Sandstone,Cretaceous,Lacustrine,0.2173851042772743,26.588446583421145,0.4026410850864478,0.0018693451295626051
65.91170623948832,125.11714789970506,Siltstone,Ordovician,Marine,0.01480342281846414,4.948588299122328,0.6340996855258,0.9330799035904191
18.20070211377758,-114.54564497855804,Limestone,Cambrian,Marine,0.26850804196791844,23.432728728788522,0.4241789912069983,0.23489440612818935
37.45306400328819,-25.07524834600784,Siltstone,Jurassic,Aeolian,0.1910524864594867,41.190611068697066,0.42764843051565116,0.6885290530689566
-86.29479102675556,-120.42008112108397,Limestone,Paleogene,Fluvial,0.5082864397249243,10.10813647477185,0.5466370187949016,0.5150801549554427
84.58377338915898,74.3774864379184,Sandstone,Cretaceous,Aeolian,0.2037032916565763,5.015106798256163,0.3559267096208225,0.32543375684088616
59.839675344075914,12.725196502196411,Conglomerate,Cambrian,Aeolian,0.7631898707194947,16.807019547743874,0.7927369942692357,0.28263952367638867
-51.77896007791029,48.71640481499557,Conglomerate,Triassic,Aeolian,0.24137063800400393,19.75044261668691,0.6336387354152389,0.9287598625071047
-57.27150590272189,-109.26469189576399,Limestone,Ordovician,Lacustrine,0.7069681799126557,15.659754982092268,0.6897557615389457,0.9119258959198372
-56.98718822638191,-103.77148966112897,Sandstone,Permian,Marine,0.578470923013724,7.194418888415521,0.2310348002217636,0.5131348400537792
-35.23639626728321,-165.06096281643372,Siltstone,Neogene,Deltaic,0.9862498564718843,12.916573056224868,0.9695752884813924,0.2584951955351392
4.456157693802808,-64.05568732953729,Conglomerate,Carboniferous,Fluvial,0.9999009770092316,34.27297902780446,0.6601760977729654,0.10234203217199778
-12.249896644419167,21.50807808012297,Limestone,Cambrian,Aeolian,0.86952608331733,19.603461556511615,0.19719586453039162,0.1565763828590856
-37.57875476435245,128.8565690390384,Siltstone,Ordovician,Marine,0.7599833692987511,31.811197508618513,0.7504902434710338,0.5222517257406045
20.133521050028307,60.09388108512505,Sandstone,Ordovician,Fluvial,0.38645641400057373,27.047037105977257,0.1737141032076227,0.30782996057900913
-64.89110508263246,-23.257323576089476,Shale,Paleogene,Deltaic,0.7532767271313036,27.678120522954615,0.06338489629950839,0.0420681422599567
-37.41396326366073,163.12324118188963,Sandstone,Paleogene,Deltaic,0.9566755370794907,12.803203118415901,0.5275533961458343,0.4551673853111001
-24.0548682071355,78.92827220729947,Sandstone,Permian,Aeolian,0.02337757539544416,26.316380122024988,0.5535239541623472,0.7461892924643136
-7.907402840933528,154.85947303051802,Siltstone,Neogene,Deltaic,0.5379147001977388,1.667938336228488,0.18896557473159858,0.8916951159599875
51.33167305074244,9.931670377979628,Siltstone,Cambrian,Deltaic,0.2179983043884346,21.871315245083846,0.348378944292159,0.5852840456830893
-54.058719211495244,-86.79446107446975,Dolomite,Neogene,Fluvial,0.5578763158688504,28.844829747900796,0.9457692956786969,0.723292123842446
